class,section,head,head_name,pos,term
CLASS I,SECTION I.,#1.,Existence,noun,existence
CLASS I,SECTION I.,#1.,Existence,noun,being
CLASS I,SECTION I.,#1.,Existence,noun,entity
CLASS I,SECTION I.,#1.,Existence,noun,ens
CLASS I,SECTION I.,#1.,Existence,noun,"esse , subsistence"
CLASS I,SECTION I.,#1.,Existence,noun,reality
CLASS I,SECTION I.,#1.,Existence,noun,actuality
CLASS I,SECTION I.,#1.,Existence,noun,positiveness
CLASS I,SECTION I.,#1.,Existence,noun,fact
CLASS I,SECTION I.,#1.,Existence,noun,matter of fact
CLASS I,SECTION I.,#1.,Existence,noun,sober reality
CLASS I,SECTION I.,#1.,Existence,noun,truth
CLASS I,SECTION I.,#1.,Existence,noun,actual existence
CLASS I,SECTION I.,#1.,Existence,noun,presence (existence in space)
CLASS I,SECTION I.,#1.,Existence,noun,coexistence
CLASS I,SECTION I.,#1.,Existence,noun,stubborn fact
CLASS I,SECTION I.,#1.,Existence,noun,hard fact
CLASS I,SECTION I.,#1.,Existence,noun,not a dream
CLASS I,SECTION I.,#1.,Existence,noun,no joke
CLASS I,SECTION I.,#1.,Existence,noun,center of life
CLASS I,SECTION I.,#1.,Existence,noun,essence
CLASS I,SECTION I.,#1.,Existence,noun,inmost nature
CLASS I,SECTION I.,#1.,Existence,noun,inner reality
CLASS I,SECTION I.,#1.,Existence,noun,"vital principle. , ontology"
CLASS I,SECTION I.,#1.,Existence,verb,exist
CLASS I,SECTION I.,#1.,Existence,verb,be
CLASS I,SECTION I.,#1.,Existence,verb,have being
CLASS I,SECTION I.,#1.,Existence,verb,subsist
CLASS I,SECTION I.,#1.,Existence,verb,live
CLASS I,SECTION I.,#1.,Existence,verb,breathe
CLASS I,SECTION I.,#1.,Existence,verb,stand
CLASS I,SECTION I.,#1.,Existence,verb,obtain
CLASS I,SECTION I.,#1.,Existence,verb,be the case
CLASS I,SECTION I.,#1.,Existence,verb,occur
CLASS I,SECTION I.,#1.,Existence,verb,have place
CLASS I,SECTION I.,#1.,Existence,verb,prevail
CLASS I,SECTION I.,#1.,Existence,verb,find oneself
CLASS I,SECTION I.,#1.,Existence,verb,"pass the time, vegetate"
CLASS I,SECTION I.,#1.,Existence,verb,consist in
CLASS I,SECTION I.,#1.,Existence,verb,lie in
CLASS I,SECTION I.,#1.,Existence,verb,be comprised in
CLASS I,SECTION I.,#1.,Existence,verb,be contained in
CLASS I,SECTION I.,#1.,Existence,verb,be constituted by
CLASS I,SECTION I.,#1.,Existence,verb,come into existence
CLASS I,SECTION I.,#1.,Existence,verb,arise
CLASS I,SECTION I.,#1.,Existence,verb,come forth
CLASS I,SECTION I.,#1.,Existence,verb,become (be converted)
CLASS I,SECTION I.,#1.,Existence,verb,bring into existence
CLASS I,SECTION I.,#1.,Existence,verb,abide
CLASS I,SECTION I.,#1.,Existence,verb,continue
CLASS I,SECTION I.,#1.,Existence,verb,endure
CLASS I,SECTION I.,#1.,Existence,verb,last
CLASS I,SECTION I.,#1.,Existence,verb,"remain, stay"
CLASS I,SECTION I.,#1.,Existence,adjective,existing
CLASS I,SECTION I.,#1.,Existence,adjective,existent
CLASS I,SECTION I.,#1.,Existence,adjective,under the sun
CLASS I,SECTION I.,#1.,Existence,adjective,in existence
CLASS I,SECTION I.,#1.,Existence,adjective,extant
CLASS I,SECTION I.,#1.,Existence,adjective,afloat
CLASS I,SECTION I.,#1.,Existence,adjective,afoot
CLASS I,SECTION I.,#1.,Existence,adjective,on foot
CLASS I,SECTION I.,#1.,Existence,adjective,current
CLASS I,SECTION I.,#1.,Existence,adjective,prevalent
CLASS I,SECTION I.,#1.,Existence,adjective,undestroyed
CLASS I,SECTION I.,#1.,Existence,adjective,real
CLASS I,SECTION I.,#1.,Existence,adjective,actual
CLASS I,SECTION I.,#1.,Existence,adjective,positive
CLASS I,SECTION I.,#1.,Existence,adjective,absolute
CLASS I,SECTION I.,#1.,Existence,adjective,true
CLASS I,SECTION I.,#1.,Existence,adjective,substantial
CLASS I,SECTION I.,#1.,Existence,adjective,substantive
CLASS I,SECTION I.,#1.,Existence,adjective,self-existing
CLASS I,SECTION I.,#1.,Existence,adjective,self-existent
CLASS I,SECTION I.,#1.,Existence,adjective,essential
CLASS I,SECTION I.,#1.,Existence,adjective,well-founded
CLASS I,SECTION I.,#1.,Existence,adjective,well-grounded
CLASS I,SECTION I.,#1.,Existence,adjective,unideal
CLASS I,SECTION I.,#1.,Existence,adjective,unimagined
CLASS I,SECTION I.,#1.,Existence,adjective,not potential
CLASS I,SECTION I.,#1.,Existence,adjective,authentic
CLASS I,SECTION I.,#1.,Existence,adverb,actually
CLASS I,SECTION I.,#1.,Existence,adverb,in fact
CLASS I,SECTION I.,#1.,Existence,adverb,in point of fact
CLASS I,SECTION I.,#1.,Existence,adverb,in reality
CLASS I,SECTION I.,#1.,Existence,adverb,indeed
CLASS I,SECTION I.,#1.,Existence,adverb,de facto
CLASS I,SECTION I.,#1.,Existence,adverb,ipso facto
CLASS I,SECTION I.,#1.,Existence,phrase,ens rationis
